erpid,name,branch,obtainedmarks_1,totalmarks_1,obtainedmarks_2,totalmarks_2,pref_1,pref_2,pref_3,pref_4,pref_5
E201,Aarav Shah,CSE,95,100,97,100,CSE,ECE,MECH,CIVIL,EEE
E202,Priya Mehta,ECE,93,100,94,100,CSE,ECE,EEE,MECH,CIVIL
E203,Rohan Verma,MECH,91,100,92,100,CSE,ECE,MECH,EEE,CIVIL
E204,Sneha Patil,CIVIL,90,100,89,100,CSE,MECH,CIVIL,ECE,EEE
E205,Karan Joshi,EEE,88,100,90,100,ECE,EEE,CSE,MECH,CIVIL
E206,Diya Nair,CSE,87,100,86,100,CSE,EEE,ECE,CIVIL,MECH
E207,Amit Rao,MECH,85,100,87,100,MECH,CSE,ECE,EEE,CIVIL
E208,Pooja Singh,ECE,84,100,83,100,ECE,CSE,EEE,MECH,CIVIL
E209,Vikram Iyer,CIVIL,82,100,84,100,CIVIL,ECE,CSE,EEE,MECH
E210,Ananya Das,EEE,81,100,80,100,EEE,CSE,ECE,MECH,CIVIL
E211,Rahul Kumar,CSE,79,100,81,100,CSE,MECH,EEE,ECE,CIVIL
E212,Meera Pillai,ECE,78,100,77,100,ECE,EEE,CSE,CIVIL,MECH
E213,Siddharth Bose,MECH,76,100,78,100,MECH,ECE,CSE,EEE,CIVIL
E214,Kavya Reddy,CIVIL,75,100,74,100,CIVIL,CSE,MECH,ECE,EEE
E215,Arjun Menon,EEE,73,100,75,100,EEE,MECH,CSE,ECE,CIVIL
E216,Tanvi Sharma,CSE,72,100,71,100,CSE,ECE,EEE,MECH,CIVIL
E217,Dev Gupta,MECH,70,100,72,100,MECH,CSE,ECE,CIVIL,EEE
E218,Ishita Roy,ECE,69,100,68,100,ECE,CSE,MECH,EEE,CIVIL
E219,Nikhil Jain,CIVIL,67,100,69,100,CIVIL,EEE,ECE,CSE,MECH
E220,Riya Choudhary,EEE,65,100,64,100,EEE,CIVIL,CSE,MECH,ECE
E221,Harsh Trivedi,CSE,95,100,95,100,ECE,MECH,CIVIL,EEE,CSE
E222,Simran Kaur,ECE,93,100,93,100,EEE,CSE,MECH,CIVIL,ECE
E223,Aditya Bhatt,MECH,91,100,91,100,CIVIL,EEE,CSE,MECH,ECE
E224,Neha Saxena,CIVIL,89,100,89,100,MECH,CIVIL,EEE,CSE,ECE
E225,Vivek Pandey,EEE,87,100,87,100,CSE,EEE,MECH,ECE,CIVIL
E226,Tanya Mishra,CSE,60,100,58,100,CSE,ECE,MECH,EEE,CIVIL
E227,Rajesh Nambiar,ECE,55,100,57,100,ECE,MECH,CIVIL,EEE,CSE
E228,Priyanka Tiwari,MECH,50,100,52,100,MECH,CSE,EEE,ECE,CIVIL
E229,Manish Dubey,CIVIL,48,100,46,100,CIVIL,ECE,EEE,MECH,CSE
E230,Sunita Yadav,EEE,45,100,47,100,EEE,CSE,CIVIL,MECH,ECE
