erpid,name,branch,obtainedmarks_1,totalmarks_1,obtainedmarks_2,totalmarks_2,pref_1,pref_2,pref_3,pref_4,pref_5
E001,Student 1,EEE,444,600,568,600,ETC,CIVIL,ECE,EE,ME
E002,Student 2,CSE,507,600,430,600,ETC,CIVIL,ME,ECE,EE
E003,Student 3,IT,401,600,475,600,ETC,EE,ECE,CIVIL,ME
E004,Student 4,CSE,430,600,458,600,ETC,CIVIL,ME,ECE,EE
E005,Student 5,CSE,427,600,488,600,ETC,ECE,EE,CIVIL,ME
E006,Student 6,CIVIL,499,600,474,600,ETC,CIVIL,ECE,ME,EE
E007,Student 7,CSE,479,600,589,600,ETC,EE,CIVIL,ME,ECE
E008,Student 8,EEE,548,600,453,600,ETC,ME,EE,ECE,CIVIL
E009,Student 9,IT,542,600,400,600,ETC,CIVIL,ECE,EE,ME
E010,Student 10,CIVIL,408,600,497,600,ETC,CIVIL,ME,ECE,EE
E011,Student 11,MECH,459,600,564,600,ETC,ECE,EE,ME,CIVIL
E012,Student 12,MECH,402,600,437,600,ETC,ME,ECE,CIVIL,EE
E013,Student 13,EEE,446,600,541,600,ETC,ECE,CIVIL,EE,ME
E014,Student 14,MECH,440,600,536,600,ETC,ME,EE,ECE,CIVIL
E015,Student 15,CIVIL,468,600,489,600,ETC,EE,ECE,ME,CIVIL
E016,Student 16,CIVIL,419,600,552,600,ETC,ECE,CIVIL,ME,EE
E017,Student 17,IT,516,600,589,600,ETC,ECE,CIVIL,EE,ME
E018,Student 18,IT,495,600,403,600,ETC,ECE,CIVIL,EE,ME
E019,Student 19,IT,401,600,404,600,ETC,ME,ECE,CIVIL,EE
E020,Student 20,CIVIL,465,600,576,600,ETC,ME,ECE,CIVIL,EE
E021,Student 21,EEE,524,600,584,600,ETC,ECE,EE,CIVIL,ME
E022,Student 22,IT,510,600,438,600,ETC,ECE,ME,CIVIL,EE
E023,Student 23,MECH,486,600,555,600,ETC,ME,CIVIL,EE,ECE
E024,Student 24,IT,437,600,406,600,ETC,CIVIL,EE,ME,ECE
E025,Student 25,IT,540,600,550,600,ETC,CIVIL,ECE,EE,ME
